recruiter_id,event_type,event_info_keys,event_info_values,event_count
1679730,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_NOT_VERIFIED"", ""https://www.jobhai.com/hire/home""]",1
1679730,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_NOT_VERIFIED"", ""https://www.jobhai.com/hire/home""]",1
1680684,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1687326,chatbot_redirect_clicked,"[""buttonName"", ""pageUrl"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""Explore Database"", ""/database-product?job_id=7377295"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1690393,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://www.jobhai.com/hire/home""]",2
1690676,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/help-center""]",1
1691589,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1694251,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""BASIC"", ""TEAMS_BASIC_USER_VERIFIED"", ""https://www.jobhai.com/hire/home""]",1
1695461,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://www.jobhai.com/hire/help-center?pageType=COMMUNICATION_AND_SUPPORT""]",1
1695906,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1695906,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1696132,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""false"", ""RECRUITER"", ""RECRUITER_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
1696134,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_NOT_VERIFIED"", ""https://employer.jobhai.com/hire/help-center?pageType=JOB_POST_PROCESS""]",1
1698587,chatbot_feedback_submitted,"[""solved"", ""userType"", ""userCohort"", ""pageUrlSource""]","[""true"", ""RECRUITER"", ""RECRUITER_VERIFIED_CURRENT_NOT_VERIFIED"", ""https://employer.jobhai.com/hire/home""]",1
